GO_term	taxon
GO:0002089	Vertebrata
GO:0002090	Bilateria
GO:0002091	Bilateria
GO:0002092	Opisthokonta
GO:0002093	Gnathostomata
GO:0002097	Pseudomonadati
GO:0002098	root
GO:0002099	cellular organisms
GO:0002100	cellular organisms
GO:0002101	cellular organisms
GO:0002102	Eumetazoa
GO:0002115	Eukaryota
GO:0002116	cellular organisms
GO:0002119	Protostomia
GO:0002128	cellular organisms
GO:0002130	root
GO:0002131	Bacteria
GO:0002132	cellular organisms
GO:0002134	cellular organisms
GO:0002135	cellular organisms
GO:0002142	Bilateria
GO:0002143	cellular organisms
GO:0002144	cellular organisms
GO:0002151	root
GO:0002154	root
GO:0002159	Euteleostomi
GO:0002161	cellular organisms
GO:0002177	Gnathostomata
GO:0002178	Opisthokonta
GO:0002181	cellular organisms
GO:0002182	cellular organisms
GO:0002183	Eukaryota
GO:0002184	cellular organisms
GO:0002188	cellular organisms
GO:0002189	root
GO:0002191	Eukaryota
GO:0002196	cellular organisms
GO:0002199	Bilateria
GO:0002218	Eukaryota
GO:0002221	Eukaryota
GO:0002222	Amniota
GO:0002223	root
GO:0002224	Eukaryota
GO:0002227	Amniota
GO:0002228	Amniota
GO:0002229	Streptophyta
GO:0002230	Bilateria
GO:0002232	Euteleostomi
GO:0002238	root
GO:0002239	Embryophyta
GO:0002244	Bilateria
GO:0002250	Bilateria
GO:0002252	Euteleostomi
GO:0002260	Euteleostomi
GO:0002264	Euteleostomi
GO:0002274	Euteleostomi
GO:0002280	Euteleostomi
GO:0002281	Euteleostomi
GO:0002282	Euteleostomi
GO:0002283	Euteleostomi
GO:0002286	Euteleostomi
GO:0002291	Amniota
GO:0002300	Amniota
GO:0002305	Amniota
GO:0002312	Euteleostomi
GO:0002315	Mammalia
GO:0002320	Euteleostomi
GO:0002322	Tetrapoda
GO:0002323	Euteleostomi
GO:0002331	Theria
GO:0002333	Mammalia
GO:0002357	Euteleostomi
GO:0002376	Eukaryota
GO:0002385	Bilateria
GO:0002429	Euteleostomi
GO:0002430	root
GO:0002437	Amniota
GO:0002449	Amniota
GO:0002450	Eutheria
GO:0002456	Gnathostomata
GO:0002467	Amniota
GO:0002474	Euteleostomi
GO:0002476	root
GO:0002486	root
GO:0002489	Amniota
GO:0002504	Gnathostomata
GO:0002520	Bilateria
GO:0002523	Euteleostomi
GO:0002526	Euteleostomi
GO:0002536	Amniota
GO:0002544	Amniota
GO:0002552	Amniota
GO:0002553	Tetrapoda
GO:0002572	Euteleostomi
GO:0002573	Euteleostomi
GO:0002574	Euteleostomi
GO:0002636	Mammalia
GO:0002639	Euteleostomi
GO:0002669	Amniota
GO:0002682	cellular organisms
GO:0002683	Amniota
GO:0002684	Euteleostomi
GO:0002687	Gnathostomata
GO:0002689	Amniota
GO:0002690	Euteleostomi
GO:0002699	Amniota
